timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-06-06T21:24:53.691702+07:00,Đà Nẵng,52,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,70%
2025-06-06T22:18:22.433075+07:00,Đà Nẵng,52,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,7.4 km/h,78%
2025-06-06T23:25:50.716542+07:00,Đà Nẵng,32,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,7.4 km/h,78%
2025-06-07T00:18:12.220817+07:00,Đà Nẵng,33,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,78%
2025-06-07T01:27:42.162047+07:00,Đà Nẵng,37,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,78%
2025-06-07T02:16:07.612594+07:00,Đà Nẵng,37,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%
2025-06-07T03:22:14.595405+07:00,Đà Nẵng,34,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%
2025-06-07T04:18:19.083240+07:00,Đà Nẵng,34,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%
2025-06-07T05:18:28.868355+07:00,Đà Nẵng,38,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%
2025-06-07T06:18:36.048096+07:00,Đà Nẵng,38,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,89%
2025-06-07T08:37:39.135330+07:00,Đà Nẵng,48,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,79%
2025-06-07T10:13:04.591023+07:00,Đà Nẵng,53,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,58%
2025-06-07T11:23:40.036032+07:00,Đà Nẵng,53,/dl/web/weather/ic-w-02-new-clouds-full.svg,3.7 km/h,59%
2025-06-07T12:18:14.174195+07:00,Đà Nẵng,55,/dl/web/weather/ic-w-02-new-clouds-full.svg,9.2 km/h,55%
2025-06-07T13:26:18.846791+07:00,Đà Nẵng,56,/dl/web/weather/ic-w-02-new-clouds-full.svg,9.2 km/h,49%
