timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:20:53.912312+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-10n.svg,9.5 km/h,81%
2025-08-01T01:31:45.877541+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-04n.svg,5.0 km/h,86%
2025-08-01T02:19:05.825946+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-10n.svg,4.7 km/h,84%
2025-08-01T03:23:56.953611+07:00,Hải Phòng,81,/dl/web/weather/ic-weather-10n.svg,3.2 km/h,89%
2025-08-01T04:20:17.348550+07:00,Hải Phòng,60,/dl/web/weather/ic-weather-10n.svg,4.8 km/h,93%
2025-08-01T05:20:39.920732+07:00,Hải Phòng,44,/dl/web/weather/ic-weather-10n.svg,6.6 km/h,89%
2025-08-01T06:20:33.951507+07:00,Hải Phòng,66,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,93%
2025-08-01T08:59:23.254726+07:00,Hải Phòng,85,/dl/web/weather/ic-weather-10d.svg,11.3 km/h,89%
2025-08-01T10:59:08.833990+07:00,Hải Phòng,84,/dl/web/weather/ic-weather-04d.svg,14.5 km/h,84%
2025-08-01T11:58:20.687634+07:00,Hải Phòng,71,/dl/web/weather/ic-weather-04d.svg,15.3 km/h,75%
