timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:20:37.356785+07:00,Hà Nội,61,/dl/web/weather/ic-weather-10n.svg,11.6 km/h,87%
2025-08-01T01:31:28.561900+07:00,Hà Nội,16,/dl/web/weather/ic-weather-10n.svg,9.2 km/h,82%
2025-08-01T02:18:49.873358+07:00,Hà Nội,17,/dl/web/weather/ic-weather-10n.svg,16.7 km/h,90%
2025-08-01T03:23:39.745703+07:00,Hà Nội,20,/dl/web/weather/ic-weather-10n.svg,17.4 km/h,96%
2025-08-01T04:20:00.921747+07:00,Hà Nội,28,/dl/web/weather/ic-weather-10n.svg,15.8 km/h,92%
2025-08-01T05:20:22.112338+07:00,Hà Nội,28,/dl/web/weather/ic-weather-10n.svg,15.1 km/h,95%
2025-08-01T06:20:16.930899+07:00,Hà Nội,33,/dl/web/weather/ic-weather-04d.svg,14.8 km/h,93%
2025-08-01T08:59:06.518753+07:00,Hà Nội,56,/dl/web/weather/ic-weather-10d.svg,14.0 km/h,92%
2025-08-01T10:58:51.516249+07:00,Hà Nội,58,/dl/web/weather/ic-weather-04d.svg,14.6 km/h,86%
2025-08-01T11:58:02.221340+07:00,Hà Nội,55,/dl/web/weather/ic-weather-04d.svg,15.1 km/h,81%
2025-08-01T12:36:25.408461+07:00,Hà Nội,55,/dl/web/weather/ic-weather-10d.svg,13.2 km/h,78%
