timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-06-06T21:24:44.388328+07:00,Hà Nội,75,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,16.1 km/h,77%
2025-06-06T22:18:12.543330+07:00,Hà Nội,79,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.1 km/h,79%
2025-06-06T23:25:41.070696+07:00,Hà Nội,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.3 km/h,82%
2025-06-07T00:18:01.115982+07:00,Hà Nội,75,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,13.0 km/h,84%
2025-06-07T01:27:31.927697+07:00,Hà Nội,71,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,12.4 km/h,86%
2025-06-07T02:15:58.211853+07:00,Hà Nội,71,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,12.9 km/h,87%
2025-06-07T03:22:05.368169+07:00,Hà Nội,79,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,10.6 km/h,88%
2025-06-07T04:18:09.291800+07:00,Hà Nội,75,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,90%
2025-06-07T05:18:19.294302+07:00,Hà Nội,70,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,91%
2025-06-07T06:18:26.517829+07:00,Hà Nội,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,89%
2025-06-07T08:37:26.931914+07:00,Hà Nội,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.8 km/h,75%
2025-06-07T10:12:55.374697+07:00,Hà Nội,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.0 km/h,70%
2025-06-07T11:23:29.466424+07:00,Hà Nội,81,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,66%
2025-06-07T12:18:04.428539+07:00,Hà Nội,80,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,68%
2025-06-07T13:26:09.384837+07:00,Hà Nội,75,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,60%
2025-06-07T14:17:20.968294+07:00,Hà Nội,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.2 km/h,58%
2025-06-07T15:22:47.771819+07:00,Hà Nội,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.8 km/h,64%
2025-06-07T16:18:37.176127+07:00,Hà Nội,74,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.9 km/h,66%
2025-06-07T17:19:25.131750+07:00,Hà Nội,80,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.2 km/h,63%
2025-06-07T18:14:45.354870+07:00,Hà Nội,75,/dl/web/weather/ic-w-06-rain-full.svg,18.3 km/h,81%
2025-06-07T19:35:51.268923+07:00,Hà Nội,55,/dl/web/weather/ic-w-12-night-rain-full.svg,17.5 km/h,75%
2025-06-07T20:26:02.897159+07:00,Hà Nội,55,/dl/web/weather/ic-w-12-night-rain-full.svg,15.1 km/h,84%
2025-06-07T21:16:08.152564+07:00,Hà Nội,57,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,15.3 km/h,86%
