timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-07-01T03:21:53.303441+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,82%
2025-07-01T04:18:50.887989+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.8 km/h,82%
2025-07-01T05:19:28.553874+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,86%
2025-07-01T06:19:04.544421+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,86%
2025-07-01T08:51:34.463416+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.2 km/h,79%
2025-07-01T10:40:02.863497+07:00,Huế,44,/dl/web/weather/ic-w-06-rain-full.svg,2.4 km/h,67%
2025-07-01T11:38:10.975524+07:00,Huế,46,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,65%
2025-07-01T12:23:34.458944+07:00,Huế,43,/dl/web/weather/ic-w-06-rain-full.svg,9.7 km/h,62%
2025-07-01T13:31:02.614173+07:00,Huế,41,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.2 km/h,61%
2025-07-01T14:21:11.765827+07:00,Huế,41,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.6 km/h,65%
2025-07-01T15:28:10.591011+07:00,Huế,41,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.5 km/h,72%
2025-07-01T16:23:48.743013+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,71%
2025-07-01T17:22:44.822228+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.0 km/h,81%
2025-07-01T18:17:50.096273+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,81%
2025-07-01T19:41:24.248145+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,84%
2025-07-01T20:33:34.871101+07:00,Huế,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.9 km/h,78%
2025-07-01T21:19:35.338342+07:00,Huế,44,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.1 km/h,82%
2025-07-01T22:22:01.174981+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,86%
2025-07-02T00:18:50.029196+07:00,Huế,43,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.7 km/h,86%
