timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-08-01T00:20:59.063712+07:00,Nha Trang,59,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,68%
2025-08-01T01:31:51.372839+07:00,Nha Trang,59,/dl/web/weather/ic-weather-04n.svg,8.5 km/h,69%
2025-08-01T02:19:11.822182+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,7.9 km/h,69%
2025-08-01T03:24:02.113312+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,7.9 km/h,70%
2025-08-01T04:20:22.201046+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,7.1 km/h,70%
2025-08-01T05:20:45.347373+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,7.2 km/h,70%
2025-08-01T06:20:39.399799+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04d.svg,7.1 km/h,70%
2025-08-01T08:59:29.145763+07:00,Nha Trang,58,/dl/web/weather/ic-weather-03d.svg,6.1 km/h,57%
2025-08-01T10:59:13.693033+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04d.svg,9.7 km/h,49%
2025-08-01T11:58:29.182960+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04d.svg,16.6 km/h,49%
2025-08-01T12:36:47.685230+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04d.svg,19.3 km/h,52%
